Author,Text
"
    Hafiz
  ","
      “And still, after all this time,"
"
    Benjamin Disraeli
  ","
      “There are three types of lies -- lies, damn lies, and statistics.”
  "
"
    Sarah Dessen,
  ","
      “So you're always honest,"" I said."
"
    J.K. Rowling,
  ","
      “Understanding is the first step to acceptance, and only with acceptance can there be recovery.”
  "
"
    William Shakespeare,
  ","
      “Words are easy, like the wind; Faithful friends are hard to find.”
  "
"
    Ernest Hemingway
  ","
      “The first draft of anything is shit.”
  "
"
    Mark Twain
  ","
      “Don't part with your illusions. When they are gone you may still exist, but you have ceased to live.”
  "
"
    Natalie Babbitt,
  ","
      “Don't be afraid of death; be afraid of an unlived life. You don't have to live forever, you just have to live.”
  "
"
    Virginia Woolf
  ","
      “Why are women... so much more interesting to men than men are to women?”
  "
"
    Mary Oliver
  ","
      “You do not have to be good."
"
    Markus Zusak,
  ","
      “Imagine smiling after a slap in the face. Then think of doing it twenty-four hours a day.”
  "
"
    Markus Zusak,
  ","
      “I wanted to tell the book thief many things, about beauty and brutality. But what could I tell her about those things that she didn't already know? I wanted to explain that I am constantly overestimating and underestimating the human race-that rarely do I ever simply estimate it. I wanted to ask her how the same thing could be so ugly and so glorious, and its words and stories so damning and brilliant.”
  "
"
    Antoine de Saint-Exupéry,
  ","
      “What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well...”
  "
"
    Coco Chanel
  ","
      “It’s probably not just by chance that I’m alone. It would be very hard for a man to live with me, unless he’s terribly strong. And if he’s stronger than I, I’m the one who can’t live with him. … I’m neither smart nor stupid, but I don’t think I’m a run-of-the-mill person. I’ve been in business without being a businesswoman, I’ve loved without being a woman made only for love. The two men I’ve loved, I think, will remember me, on earth or in heaven, because men always remember a woman who caused them concern and uneasiness. I’ve done my best, in regard to people and to life, without precepts, but with a taste for justice.”
  "
"
    Charlotte Brontë,
  ","
      “"
"
    F. Scott Fitzgerald,
  ","
      “And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer.”
  "
"
    Dr. Seuss
  ","
      “How did it get so late so soon?”
  "
"
    Suzanne Collins,
  ","
      “You here to finish me off, Sweetheart?”
  "
"
    Maya Angelou
  ","
      “Have enough courage to trust love one more time and always one more time.”
  "
"
    Raymond Chandler,
  ","
      “To say goodbye is to die a little.”
  "
"
    Friedrich Nietzsche
  ","
      “The individual has always had to struggle to keep from being overwhelmed by the tribe. If you try it, you will be lonely often, and sometimes frightened. But no price is too high to pay for the privilege of owning yourself.”
  "
"
    Margaret Atwood
  ","
      “I would like to be the air that inhabits you for a moment only. I would like to be that unnoticed and that necessary.”
  "
"
    Oriah Mountain Dreamer
  ","
      “It doesn't interest me what you do for a living. I want to know what you ache for, and if you dare to dream of meeting your heart's longing."
"
    Anais Nin
  ","
      “I am an excitable person who only understands life lyrically, musically, in whom feelings are much stronger as reason. I am so thirsty for the marvelous that only the marvelous has power over me. Anything I can not transform into something marvelous, I let go. Reality doesn't impress me. I only believe in intoxication, in ecstasy, and when ordinary life shackles me, I escape, one way or another. No more walls.”
  "
"
    Stewart O'Nan,
  ","
      “You couldn't relive your life, skipping the awful parts, without losing what made it worthwhile. You had to accept it as a whole--like the world, or the person you loved.”
  "
"
    Ralph Waldo Emerson
  ","
      “Live in the sunshine, swim the sea, drink the wild air.”
  "
"
    Christopher Paolini
  ","
      “Books should go where they will be most appreciated, and not sit unread, gathering dust on a forgotten shelf, don't you agree?”
  "
"
    Cassandra Clare,
  ","
      “The meek may inherit the earth, but at the moment it belongs to the conceited. Like me.”
  "
"
    Rick Riordan,
  ","
      “Grover was sniffing the wind, looking nervous. He fished out his acorns and threw them into the sand, then played his pipes. They rearranged themselves in a pattern that made no sense to me, but Grover looked concerned. "
"
    J.D. Salinger,
  ","
      “I'm quite illiterate, but I read a lot. ”
  "
"
    Pablo Neruda
  ","
      “Someday, somewhere - anywhere, unfailingly, you'll find yourself, and that, and only that, can be the happiest or bitterest hour of your life.”
  "
"
    William Shakespeare,
  ","
      “You speak an infinite deal of nothing.”
  "
"
    Sylvia Plath
  ","
      “Mad Girl's Love Song"
"
    John Steinbeck,
  ","
      “Maybe ever’body in the whole damn world is scared of each other.”
  "
"
    Sarah Dessen,
  ","
      “It's a lot easier to be lost than found. It's the reason we're always searching and rarely discovered--so many locks not enough keys.”
  "
"
    Norton Juster,
  ","
      “So many things are possible just as long as you don't know they're impossible.”
  "
"
    Chico Xavier
  ","
      “‎Though nobody can go back and make a new beginning... Anyone can start over and make a new ending.”
  "
"
    Marcus Aurelius,
  ","
      “You have power over your mind - not outside events. Realize this, and you will find strength.”
  "
"
    J.R.R. Tolkien,
  ","
      “War must be, while we defend our lives against a destroyer who would devour all; but I do not love the bright sword for its sharpness, nor the arrow for its swiftness, nor the warrior for his glory. I love only that which they defend.”
  "
"
    Rumi
  ","
      “You were born with wings, why prefer to crawl through life?”
  "
"
    Nathaniel Hawthorne,
  ","
      “A single dream is more powerful than a thousand realities.”
  "
"
    Chinua Achebe
  ","
      “If you don't like someone's story, write your own.”
  "
"
    Markus Zusak,
  ","
      “He does something to me, that boy. Every time. It’s his only detriment. He steps on my heart. He makes me cry.”
  "
"
    Friedrich Nietzsche
  ","
      “He who has a why to live for can bear almost any how.”
  "
"
    Joss Whedon
  ","
      “Remember to always be yourself. Unless you suck.”
  "
"
    Joel Osteen,
  ","
      “You must make a decision that you are going to move on. It wont happen automatically. You will have to rise up and say, ‘I don’t care how hard this is, I don’t care how disappointed I am, I’m not going to let this get the best of me. I’m moving on with my life.”
  "
"
    Henry van Dyke,
  ","
      “Time is"
"
    Terry Pratchett,
  ","
      “Time is a drug. Too much of it kills you.”
  "
"
    Maurice Sendak
  ","
      “A book is really like a lover. It arranges itself in your life in a way that is beautiful.”
  "
"
    Kurt Vonnegut,
  ","
      “If you want to really hurt you parents, and you don't have the nerve to be gay, the least you can do is go into the arts. I'm not kidding. The arts are not a way to make a living. They are a very human way of making life more bearable. Practicing an art, no matter how well or badly, is a way to make your soul grow, for heaven's sake. Sing in the shower. Dance to the radio. Tell stories. Write a poem to a friend, even a lousy poem. Do it as well as you possible can. You will get an enormous reward. You will have created something.”
  "
"
    Frank McCourt,
  ","
      “You might be poor, your shoes might be broken, but your mind is a palace.”
  "
"
    Elizabeth Peters
  ","
      “No woman really wants a man to carry her off; she only wants him to want to do it.”
  "
"
    Malcolm X,
  ","
      “You're not to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who does it or says it.”
  "
"
    Paulo Coelho
  ","
      “Love is an untamed force. When we try to control it, it destroys us. When we try to imprison it, it enslaves us. When we try to understand it, it leaves us feeling lost and confused.”
  "
"
    Nicholas Sparks,
  ","
      “Life, he realize, was much like a song. In the beginning there is mystery, in the end there is confirmation, but it's in the middle where all the emotion resides to make the whole thing worthwhile.”
  "
"
    Tennessee Williams,
  ","
      “If I got rid of my demons, I’d lose my angels.”
  "
"
    Shawn Slovo,
  ","
      “Love is a temporary madness, it erupts like volcanoes and then subsides. And when it subsides, you have to make a decision. You have to work out whether your roots have so entwined together that it is inconceivable that you should ever part. Because this is what love is. Love is not breathlessness, it is not excitement, it is not the promulgation of promises of eternal passion, it is not the desire to mate every second minute of the day, it is not lying awake at night imagining that he is kissing every cranny of your body. No, don't blush, I am telling you some truths. That is just being ""in love"", which any fool can do. Love itself is what is left over when being in love has burned away, and this is both an art and a fortunate accident.”
  "
"
    A.A. Milne
  ","
      “I knew when I met you an adventure was going to happen.”
  "
"
    Margaret Thatcher
  ","
      “In politics, If you want anything said, ask a man. If you want anything done, ask a woman.”
  "
"
    Elizabeth Gilbert,
  ","
      “You need to learn how to select your thoughts just the same way you select your clothes every day. This is a power you can cultivate. If you want to control things in your life so bad, work on the mind. That's the only thing you should be trying to control.”
  "
"
    Stephenie Meyer,
  ","
      “Look after my heart - I've left it with you.”
  "
"
    Christopher Morley,
  ","
      “There is no mistaking a real book when one meets it. It is like falling in love.”
  "
"
    Mary Shelley,
  ","
      “Beware; for I am fearless, and therefore powerful.”
  "
"
    Tina Fey,
  ","
      “Some people say, “Never let them see you cry.” I say, if you’re so mad you could just cry, then cry. It terrifies everyone.”
  "
"
    Markus Zusak,
  ","
      “Even death has a heart.”
  "
"
    Marjorie Pay Hinckley
  ","
      “The only way to get through life is to laugh your way through it. You either have to laugh or cry. I prefer to laugh. Crying gives me a headache.”
  "
"
    W. P. Kinsella
  ","
      “Success is getting what you want, happiness is wanting what you get”
  "
"
    Mawlana Jalal-al-Din Rumi
  ","
      “Forget safety."
"
    Walter Cronkite
  ","
      “Whatever the cost of our libraries, the price is cheap compared to that of an ignorant nation.”
  "
"
    Veronica Roth,
  ","
      “I am selfish. I am brave.”
  "
"
    Rodney Dangerfield
  ","
      “I came from a real tough neighborhood. Once a guy pulled a knife on me. I knew he wasn't a professional, the knife had butter on it.”
  "
"
    Anne Frank
  ","
      “I can shake off everything as I write; my sorrows disappear, my courage is reborn.”
  "
"
    Stephen Hawking
  ","
      “We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.”
  "
"
    Marcus Aurelius,
  ","
      “Dwell on the beauty of life. Watch the stars, and see yourself running with them.”
  "
"
    Kahlil Gibran
  ","
      “Trees are poems the earth writes upon the sky, We fell them down and turn them into paper,"
"
    Jeffrey Eugenides,
  ","
      “Biology gives you a brain. Life turns it into a mind.”
  "
"
    Ralph Ellison,
  ","
      “When I discover who I am, I’ll be free.”
  "
"
    Stephen King
  ","
      “If you want to be a writer, you must do two things above all others: read a lot and write a lot.”
  "
"
    Ally Condie,
  ","
      “Growing apart doesn't change the fact that for a long time we grew side by side; our roots will always be tangled. I'm glad for that.”
  "
"
    Rumi,
  ","
      “Don't be satisfied with stories, how things have gone with others. Unfold your own myth.”
  "
"
    Ernest Hemingway
  ","
      “All you have to do is write one true sentence. Write the truest sentence that you know.”
  "
"
    Nicholas Sparks,
  ","
      “Every great love starts with a great story...”
  "
"
    Haruki Murakami,
  ","
      “I dream. Sometimes I think that's the only right thing to do.”
  "
"
    Friedrich Wilhelm Nietzsche
  ","
      “We should consider every day lost on which we have not danced at least once.”
  "
"
    Charlotte Bronte,
  ","
      “Life appears to me too short to be spent in nursing animosity or registering wrongs.”
  "
"
    Anais Nin
  ","
      “Life shrinks or expands in proportion to one's courage.”
  "
"
    Pablo Neruda,
  ","
      “Tonight I can write the saddest lines"
"
    Corrie ten Boom
  ","
      “Never be afraid to trust an unknown future to a known God.”
  "
"
    Rumi
  ","
      “When you do things from your soul, you feel a river moving in you, a joy.”
  "
"
    Cassandra Clare,
  ","
      “Clary, "
"
    John Cheever
  ","
      “I've been homesick for countries I've never been, and longed to be where I couldn't be.”
  "
"
    William Arthur Ward
  ","
      “The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails.”
  "
"
    George Carlin
  ","
      “Have you ever noticed that anybody driving slower than you is an idiot, and anyone going faster than you is a maniac?”
  "
"
    Marilyn Monroe 
  ","
      “It's often just enough to be with someone. I don't need to touch them. Not even talk. A feeling passes between you both. You're not alone.”
  "
"
    J.M. Barrie,
  ","
      “I'm not young enough to know everything.”
  "
"
    J.K. Rowling,
  ","
      “Why were you lurking under our window?"""
"
    Simon and Garfunkel
  ","
      “I've got nothing to do today but smile.”
  "
"
    Washington Irving
  ","
      “There is a sacredness in tears....They are the messengers of overwhelming grief, of deep contrition and of unspeakable love.”
  "
"
    Kristin Cashore,
  ","
      “I'm not going to wear a red dress,"" she said."
"
    Franz Kafka
  ","
      “A book must be the axe for the frozen sea within us.”
  "
"
    Milan Kundera
  ","
      “You can't measure the mutual affection of two human beings by the number of words they exchange.”
  "
"
    Antoine de Saint-Exupéry,
  ","
      “It is the time you have wasted for your rose that makes your rose so important.”
  "
"
    A.A. Milne
  ","
      “How do you spell 'love'?"" - Piglet"
"
    Cassandra Clare,
  ","
      “They’re not hideous,” said Tessa."
"
    Pablo Neruda
  ","
      “As if you were on fire from within."
"
    W. Somerset Maugham
  ","
      “There are three rules for writing a novel. Unfortunately, no one knows what they are.”
  "
"
    Julian Barnes,
  ","
      “Books say: She did this because. Life says: She did this. Books are where things are explained to you; life is where things aren't. I'm not surprised some people prefer books.”
  "
"
    A.A. Milne
  ","
      “Sometimes,' said Pooh, 'the smallest things take up the most room in your heart.”
  "
"
    George Bernard Shaw
  ","
      “If you want to tell people the truth, make them laugh, otherwise they'll kill you.”
  "
"
    Mae West
  ","
      “Every man I meet wants to protect me. I can't figure out what from.”
  "
"
    J.K. Rowling,
  ","
      “It is my belief... that the truth is generally preferable to lies.”
  "
"
    Mark Twain
  ","
      “Clothes make the man. Naked people have little or no influence on society.”
  "
"
    Jonathan Safran Foer,
  ","
      “I regret that it takes a life to learn how to live.”
  "
"
    Suzanne Collins,
  ","
      “And then he gives me a smile that just seems so genuinely sweet with just the right touch of shyness that unexpected warmth rushes through me.”
  "
"
    Sarah J. Maas,
  ","
      “No. I can survive well enough on my own— if given the proper reading material.”
  "
"
    Emily Dickinson
  ","
      “That it will never come again is what makes life so sweet.”
  "
"
    Veronica Roth,
  ","
      “We both have war inside us. Sometimes it keeps us alive. Sometimes it threatens to destroy us.”
  "
"
    Marilyn Monroe
  ","
      “Dogs never bite me. Just humans.”
  "
"
    Stephen Chbosky,
  ","
      “And I thought about how many people have loved those songs. And how many people got through a lot of bad times because of those songs. And how many people enjoyed good times with those songs. And how much those songs really mean. I think it would be great to have written one of those songs. I bet if I wrote one of them, I would be very proud. I hope the people who wrote those songs are happy. I hope they feel it's enough. I really do because they've made me happy. And I'm only one person.”
  "
"
    J.K. Rowling,
  ","
      “It was, he thought, the difference between being dragged into the arena to face a battle to the death and walking into the arena with your head held high. Some people, perhaps, would say that there was little to choose between the two ways, but Dumbledore knew - and so do I, thought Harry, with a rush of fierce pride, and so did my parents - that there was all the difference in the world.”
  "
"
    Fitzgerald F. Scott,
  ","
      “I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.”
  "
"
    Ralph Waldo Emerson
  ","
      “What you do speaks so loudly that I cannot hear what you say.”
  "
"
    Voltaire
  ","
      “‎Life is a shipwreck, but we must not forget to sing in the lifeboats.”
  "
"
    Bram Stoker,
  ","
      “There are darknesses in life and there are lights, and you are one of the lights, the light of all lights.”
  "
"
    Albert Einstein
  ","
      “The measure of intelligence is the ability to change.”
  "
"
    Jon Krakauer,
  ","
      “Happiness [is] only real when shared”
  "
"
    Ray Bradbury
  ","
      “We are cups, constantly and quietly being filled. The trick is, knowing how to tip ourselves over and let the beautiful stuff out.”
  "
"
    Cassandra Clare,
  ","
      “Don't tell me,"" Jace said, ""Simon's turned himself into an ocelot and you want me to do something about it before Isabelle makes him into a stole. Well, you'll have have to wait till tomorrow. I'm out of commission."" He pointed at himself - he was wearing blue pajamas with a hole in the sleeve. ""Look. Jammies."""
"
    Lilith Saintcrow,
  ","
      “Better to be strong than pretty and useless.”
  "
"
    Arthur C. Clarke
  ","
      “I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.”
  "
"
    Albert Camus,
  ","
      “You know what charm is: a way of getting the answer yes without having asked any clear question.”
  "
"
    Albert Einstein
  ","
      “It is not that I'm so smart. But I stay with the questions much longer.”
  "
"
    Plato
  ","
      “We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.”
  "
"
    J.K. Rowling,
  ","
      “One can never have enough socks,"" said Dumbledore. ""Another Christmas has come and gone and I didn't get a single pair. People will insist on giving me books.”
  "
"
    Oscar Wilde,
  ","
      “Nowadays people know the price of everything and the value of nothing.”
  "
"
    Johann Wolfgang von Goethe,
  ","
      “One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.”
  "
"
    Veronica Roth,
  ","
      “Cruelty does not make a person dishonest, the same way bravery does not make a person kind.”
  "
"
    John A. Shedd
  ","
      “A ship is safe in harbor, but that's not what ships are for.”
  "
"
    Haruki Murakami,
  ","
      “Don't feel sorry for yourself. Only assholes do that.”
  "
"
    Mark Twain,
  ","
      “You can't depend on your eyes when your imagination is out of focus.”
  "
"
    Isaac Asimov
  ","
      “In life, unlike chess, the game continues after checkmate.”
  "
"
    Robert Frost
  ","
      “Education is the ability to listen to almost anything without losing your temper or your self-confidence.”
  "
"
    John Locke
  ","
      “Reading furnishes the mind only with materials of knowledge; it is thinking that makes what we read ours.”
  "
"
    Pablo Neruda
  ","
      “I crave your mouth, your voice, your hair."
"
    Franz Kafka
  ","
      “Many a book is like a key to unknown chambers within the castle of one’s own self.”
  "
"
    Mo Willems,
  ","
      “If you ever find yourself in the wrong story, leave.”
  "
"
    John Green,
  ","
      “Much of my life had been devoted to trying not to cry in front of people who loved me, so I knew what Augustus was doing. You clench your teeth. You look up. You tell yourself that if they see you cry, it will hurt them, and you will be nothing but a Sadness in their lives, and you must not become a mere sadness, so you will not cry, and you say all of this to yourself while looking up at the ceiling, and then you swallow even though your throat does not want to close and you look at the person who loves you and smile.”
  "
"
    Nicholas Sparks,
  ","
      “Our story has three parts: a beginning, a middle, and an end. And although this is the way all stories unfold, I still can't believe that ours didn't go on forever.”
  "
"
    Jean-Paul Sartre
  ","
      “If you're lonely when you're alone, you're in bad company.”
  "
"
    Shel Silverstein
  ","
      “If you are a dreamer come in"
"
    Ayn Rand,
  ","
      “If you don't know, the thing to do is not to get scared, but to learn.”
  "
"
    Émile Zola
  ","
      “If you ask me what I came to do in this world, I, an artist, will answer you: I am here to live out loud.”
  "
"
    Jamie McGuire,
  ","
      “I knew the second I met you"
"
    J.K. Rowling,
  ","
      “Of all the trees we could've hit, we had to get one that hits back.”
  "
"
    Franz Kafka
  ","
      “I am a cage, in search of a bird.”
  "
"
    Jorge Luis Borges
  ","
      “I cannot sleep unless I am surrounded by books.”
  "
"
    Soren Kierkegaard
  ","
      “The function of prayer is not to influence God, but rather to change the nature of the one who prays.”
  "
"
    Suzanne Collins,
  ","
      “I realize only one person will be damaged beyond repair if Peeta dies. Me.”
  "
"
    Niels Bohr
  ","
      “An expert is a person who has made all the mistakes that can be made in a very narrow field.”
  "
"
    Lemony Snicket
  ","
      “All the secrets of the world are contained in books. Read at your own risk.”
  "
"
    Stephenie Meyer,
  ","
      “Before you, Bella, my life was like a moonless night. Very dark, but there were stars, points of light and reason. ...And then you shot across my sky like a meteor. Suddenly everything was on fire; there was brilliancy, there was beauty. When you were gone, when the meteor had fallen over the horizon, everything went black. Nothing had changed, but my eyes were blinded by the light. I couldn’t see the stars anymore. And there was no more reason, for anything.”
  "
"
    Ernest Hemingway,
  ","
      “Maybe...you'll fall in love with me all over again."""
"
    Alan Bennett,
  ","
      “The best moments in reading are when you come across something – a thought, a feeling, a way of looking at things – which you had thought special and particular to you. Now here it is, set down by someone else, a person you have never met, someone even who is long dead. And it is as if a hand has come out and taken yours.”
  "
"
    Robert Jordan
  ","
      “Any fool knows men and women think differently at times, but the biggest difference is this. Men forget, but never forgive; women forgive, but never forget.”
  "
"
    J. M. Barrie,
  ","
      “The moment you doubt whether you can fly, you cease for ever to be able to do it.”
  "
"
    Bill Watterson
  ","
      “Sometimes when I'm talking, my words can't keep up with my thoughts. I wonder why we think faster than we speak. Probably so we can think twice.”
  "
"
    Rick Riordan,
  ","
      “The real story of the Fleece: there were these two children of Zeus, Cadmus and Europa, okay? They were about to get offered up as human sacrifices, when they prayed to Zeus to save them. So Zeus sent this magical flying ram with golden wool, which picked them up in Greece and carried them all the way to Colchis in Asia Minor. Well, actually it carried Cadmus. Europa fell off and died along the way, but that's not important."""
"
    Thomas Merton,
  ","
      “The beginning of love is the will to let those we love be perfectly themselves, the resolution not to twist them to fit our own image. If in loving them we do not love what they are, but only their potential likeness to ourselves, then we do not love them: we only love the reflection of ourselves we find in them”
  "
"
    Chuck Palahniuk,
  ","
      “The unreal is more powerful than the real. Because nothing is as perfect as you can imagine it. Because its only intangible ideas, concepts, beliefs, fantasies that last. Stone crumbles. Wood rots. People, well, they die. But things as fragile as a thought, a dream, a legend, they can go on and on. If you can change the way people think. The way they see themselves. The way they see the world. You can change the way people live their lives. That's the only lasting thing you can create.”
  "
"
    Saul Bellow
  ","
      “People can lose their lives in libraries. They ought to be warned.”
  "
"
    Alice Walker
  ","
      “The most common way people give up their power is by thinking they don't have any.”
  "
"
    James Baldwin
  ","
      “You think your pain and your heartbreak are unprecedented in the history of the world, but then you read.”
  "
"
    Ralph Waldo Emerson
  ","
      “The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.”
  "
"
    Cormac McCarthy,
  ","
      “You never know what worse luck your bad luck has saved you from.”
  "
"
    Fyodor Dostoevsky,
  ","
      “The darker the night, the brighter the stars, "
"
    Henry Miller
  ","
      “The one thing we can never get enough of is love. And the one thing we never give enough of is love.”
  "
"
    Neil Gaiman,
  ","
      “There are so many fragile things, after all. People break so easily, and so do dreams and hearts.”
  "
"
    F. Scott Fitzgerald,
  ","
      “He smiled understandingly-much more than understandingly. It was one of those rare smiles with a quality of eternal reassurance in it, that you may come across four or five times in life. It faced--or seemed to face--the whole eternal world for an instant, and then concentrated on you with an irresistible prejudice in your favor. It understood you just as far as you wanted to be understood, believed in you as you would like to believe in yourself, and assured you that it had precisely the impression of you that, at your best, you hoped to convey.”
  "
"
    W.G. Sebald,
  ","
      “It is thanks to my evening reading alone that I am still more or less sane.”
  "
"
    Deborah Reber,
  ","
      “Letting go doesn't mean that you don't care about someone anymore. It's just realizing that the only person you really have control over is yourself.”
  "
"
    Ralph Waldo Emerson
  ","
      “When it is dark enough, you can see the stars.”
  "
"
    J.K. Rowling,
  ","
      “He was my mum and dad's best friend. He's a convicted murderer, but he's broken out of wizard prison and he's on the run. He likes to keep in touch with me, though...keep up with my news...check if I'm happy...”
  "
"
    Groucho Marx
  ","
      “From the moment I picked up your book until I put it down, I was convulsed with laughter. Some day I intend reading it.”
  "
"
    Nicholas Sparks,
  ","
      “It's possible to go on, no matter how impossible it seems, and that in time, the grief . . . lessens. It may not go away completely, but after a while it's not so overwhelming.”
  "
"
    Henry David Thoreau
  ","
      “I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived. I did not wish to live what was not life, living is so dear; nor did I wish to practise resignation, unless it was quite necessary. I wanted to live deep and suck out all the marrow of life, to live so sturdily and Spartan-like as to put to rout all that was not life, to cut a broad swath and shave close, to drive life into a corner, and reduce it to its lowest terms...”
  "
"
    Steve Maraboli
  ","
      “Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”
  "
"
    Mark Twain,
  ","
      “Travel is fatal to prejudice, bigotry, and narrow-mindedness, and many of our people need it sorely on these accounts. Broad, wholesome, charitable views of men and things cannot be acquired by vegetating in one little corner of the earth all one's lifetime.”
  "
"
    Vincent Van Gogh
  ","
      “Be clearly aware of the stars and infinity on high. Then life seems almost enchanted after all.”
  "
"
    Chuck Palahniuk,
  ","
      “You realize that our mistrust of the future makes it hard to give up the past.”
  "
"
    Jane Austen,
  ","
      “I can listen no longer in silence. I must speak to you by such means as are within my reach. You pierce my soul. I am half agony, half hope. Tell me not that I am too late, that such precious feelings are gone for ever. I offer myself to you again with a heart even more your own than when you almost broke it, eight years and a half ago. Dare not say that man forgets sooner than woman, that his love has an earlier death. I have loved none but you. Unjust I may have been, weak and resentful I have been, but never inconstant. You alone have brought me to Bath. For you alone, I think and plan. Have you not seen this? Can you fail to have understood my wishes? I had not waited even these ten days, could I have read your feelings, as I think you must have penetrated mine. I can hardly write. I am every instant hearing something which overpowers me. You sink your voice, but I can distinguish the tones of that voice when they would be lost on others. Too good, too excellent creature! You do us justice, indeed. You do believe that there is true attachment and constancy among men. Believe it to be most fervent, most undeviating, in F. W."
"
    David Byrne
  ","
      “Sometimes it's a form of love just to talk to somebody that you have nothing in common with and still be fascinated by their presence.”
  "
"
    Bob Marley
  ","
      “love the life you live."
"
    Will Rogers
  ","
      “Even if you are on the right track, you’ll get run over if you just sit there.”
  "
"
    Diana Gabaldon,
  ","
      “I stood still, vision blurring, and in that moment, I heard my heart break. It was a small, clean sound, like the snapping of a flower's stem.”
  "
"
    George Carlin
  ","
      “That's why they call it the American Dream, because you have to be asleep to believe it.”
  "
"
    Hunter S. Thompson,
  ","
      “We are all alone, born alone, die alone, and—in spite of True Romance magazines—we shall all someday look back on our lives and see that, in spite of our company, we were alone the whole way. I do not say lonely—at least, not all the time—but essentially, and finally, alone. This is what makes your self-respect so important, and I don't see how you can respect yourself if you must look in the hearts and minds of others for your happiness.”
  "
"
    Sara Henderson
  ","
      “Don't wait for a light to appear at the end of the tunnel, stride down there and light the bloody thing yourself.”
  "
"
    Douglas Adams,
  ","
      “A learning experience is one of those things that says, 'You know that thing you just did? Don't do that.”
  "
"
    Charles Dickens,
  ","
      “Suffering has been stronger than all other teaching, and has taught me to understand what your heart used to be. I have been bent and broken, but - I hope - into a better shape.”
  "
"
    C.S. Lewis,
  ","
      “Crying is all right in its way while it lasts. But you have to stop sooner or later, and then you still have to decide what to do.”
  "
"
    F. Scott Fitzgerald,
  ","
      “I wasn't actually in love, but I felt a sort of tender curiosity.”
  "
"
    Rick Riordan
  ","
      “I nodded, looking at Rachel with respect. ""You hit the Lord of the Titans in the eye with a blue plastic hairbrush.”
  "
"
    Patrick Rothfuss,
  ","
      “Words are pale shadows of forgotten names. As names have power, words have power. Words can light fires in the minds of men. Words can wring tears from the hardest hearts.”
  "
"
    Virginia Woolf 
  ","
      “If you do not tell the truth about yourself you cannot tell it about other people.”
  "
"
    Zora Neale Hurston,
  ","
      “There are years that ask questions and years that answer.”
  "
"
    Annie Dillard,
  ","
      “She read books as one would breathe air, to fill up and live.”
  "
"
    William Wordsworth,
  ","
      “The best portion of a good man's life: his little, nameless unremembered acts of kindness and love.”
  "
"
    Rick Riordan,
  ","
      “Don't feel bad, I'm usually about to die.”
  "
"
    Cassandra Clare,
  ","
      “What are all these?"" Clary asked."
"
    Johann Wolfgang von Goethe
  ","
      “If you treat an individual as he is, he will remain how he is. But if you treat him as if he were what he ought to be and could be, he will become what he ought to be and could be.”
  "
"
    Markus Zusak,
  ","
      “A DEFINITION NOT FOUND"
"
    Roy T. Bennett,
  ","
      “If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.”
  "
"
    L. Frank Baum
  ","
      “Never give up... No one knows what's going to happen next.”
  "
"
    John Guare,
  ","
      “It's amazing how a little tomorrow can make up for a whole lot of yesterday.”
  "
"
    Lisa Schroeder
  ","
      “Was it hard?"" I ask."
"
    Jay McInerney,
  ","
      “The capacity for friendship is God's way of apologizing for our families.”
  "
"
    Tamora Pierce,
  ","
      “Every now and then I like to do as I'm told, just to confuse people.”
  "
"
    John Green,
  ","
      “Did you know that for pretty much the entire history of the human species, the average life span was less than thirty years? You could count on ten years or so of real adulthood, right? There was no planning for retirement, There was no planning for a career. There was no planning. No time for plannning. No time for a future. But then the life spans started getting longer, and people started having more and more future. And now life has become the future. Every moment of your life is lived for the future--you go to high school so you can go to college so you can get a good job so you can get a nice house so you can afford to send your kids to college so they can get a good job so they can get a nice house so they can afford to send their kids to college.”
  "
"
    Harper Lee,
  ","
      “I think there's just one kind of folks. Folks.”
  "
"
    Becca Fitzpatrick,
  ","
      “You possess other people's...bodies."""
"
    Victor Hugo,
  ","
      “Music expresses that which cannot be said and on which it is impossible to be silent.”
  "
"
    C. JoyBell C.
  ","
      “You will find that it is necessary to let things go; simply for the reason that they are heavy. So let them go, let go of them. I tie no weights to my ankles.”
  "
"
    أحمد خالد توفيق
  ","
      “أتمنى أن أبكي و أرتجف , التصق بواحد من الكبار , لكن الحقيقة القاسية هي أنك الكبار! .. أنت من يجب أن يمنح القوة و الأمن للآخرين!”
  "
